"Source:","C:\Users\Jonathan\Documents\ergo kb\BlueJay\github\BlueJay\pcb_right\bluejay_right.kicad_sch"
"Date:","2022-07-06 9:00:43 AM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","60"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C6, ","1","4.7u","Device_CP1_Small","BlueJay footprints:CP_Radial_D4.0mm_P1.50mm","",""
"C7, ","1","100n","C_Small","BlueJay footprints:C_Disc_D4.3mm_W1.9mm_P5.00mm","Unpolarized capacitor, small symbol",""
"Da1, Da2, Da3, Da4, Da5, ","5","1N4148","1N4148","BlueJay footprints:D_DO-35_SOD27_P5.08mm_Horizontal","DO-35 Diode, Small Signal, Fast Switching, 75V, 150mA, 4ns, Alternate KiCad Library",""
"Db1, Db2, Db3, Db4, Db5, ","5","1N4148","1N4148","BlueJay footprints:D_DO-35_SOD27_P5.08mm_Horizontal","DO-35 Diode, Small Signal, Fast Switching, 75V, 150mA, 4ns, Alternate KiCad Library",""
"Dc1, Dc2, Dc3, Dc4, Dc5, ","5","1N4148","1N4148","BlueJay footprints:D_DO-35_SOD27_P5.08mm_Horizontal","DO-35 Diode, Small Signal, Fast Switching, 75V, 150mA, 4ns, Alternate KiCad Library",""
"Dd1, Dd2, Dd3, Dd4, Dd5, ","5","1N4148","1N4148","BlueJay footprints:D_DO-35_SOD27_P5.08mm_Horizontal","DO-35 Diode, Small Signal, Fast Switching, 75V, 150mA, 4ns, Alternate KiCad Library",""
"De1, De2, De3, De4, ","4","1N4148","1N4148","BlueJay footprints:D_DO-35_SOD27_P5.08mm_Horizontal","DO-35 Diode, Small Signal, Fast Switching, 75V, 150mA, 4ns, Alternate KiCad Library",""
"Df2, Df3, Df4, ","3","1N4148","1N4148","BlueJay footprints:D_DO-35_SOD27_P5.08mm_Horizontal","DO-35 Diode, Small Signal, Fast Switching, 75V, 150mA, 4ns, Alternate KiCad Library",""
"J2, ","1","SJ-43514","SJ-43514","BlueJay footprints:CUI_SJ-43514","",""
"R5, R6, ","2","2.2k","Device_R_Small","BlueJay footprints:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","",""
"SWa1, SWa2, SWa3, SWa4, SWa5, ","5","KEYSW","Switch_SW_Push","BlueJay footprints:SW_MX","",""
"SWb1, SWb2, SWb3, SWb4, SWb5, ","5","KEYSW","Switch_SW_Push","BlueJay footprints:SW_MX","",""
"SWc1, SWc2, SWc3, SWc4, SWc5, ","5","KEYSW","Switch_SW_Push","BlueJay footprints:SW_MX","",""
"SWd1, SWd2, SWd3, SWd4, SWd5, ","5","KEYSW","Switch_SW_Push","BlueJay footprints:SW_MX","",""
"SWe1, SWe2, SWe3, SWe4, ","4","KEYSW","Switch_SW_Push","BlueJay footprints:SW_MX","",""
"SWf2, SWf3, SWf4, ","3","KEYSW","Switch_SW_Push","BlueJay footprints:SW_MX","",""
"U2, ","1","MCP23017","Interface_Expansion_MCP23017_SP","Package_DIP_AKL:DIP-28_W7.62mm_Socket","",""
